# zmin,zmax, thetamin,thetamax, lambdamin,lambdamax, timemin,timemax, wxmin,wxmax, wzmin,wzmax, val,relerr
9.2,10.4, 59,59.5, 4,5, 2,3, 0.8,0.85, 0.01,0.03, 4.9002e+16,3.52996
10.4,11.6, 61,61.5, 5,7.5, 3,4, 0.85,0.88, 0.01,0.03, 8.24085e+15,5.08637
9.2,10.4, 59,59.5, 2.2,2.4, 1.2,1.3, 0.8,0.85, 0.01,0.03, 7.25651e+17,6.63349
14,15.2, 57,57.5, 2.4,2.6, 1.4,1.5, 0.8,0.85, 0,0.01, 1.13633e+18,6.88243
9.2,10.4, 58.5,59, 2.4,2.6, 1.3,1.4, 0.8,0.85, 0.01,0.03, 7.673e+17,6.59584
18.8,20, 57.5,58, 1.1,1.2, 0.7,0.8, 0.8,0.85, 0.01,0.03, 4.38746e+17,9.69178
17.6,18.8, 58.5,59, 1.5,1.6, 0.8,0.9, 0.8,0.85, 0.01,0.03, 1.40526e+18,6.05051
9.2,10.4, 60,60.5, 0,0.1, 0,0.1, 0.85,0.88, 0.03,0.05, 2.7686e+19,4.20185
12.8,14, 58.5,59, 0,0.1, 0,0.1, 0.85,0.88, 0.01,0.03, 3.50236e+19,2.62255
16.4,17.6, 60.5,61, 0,0.1, 0,0.1, 0.85,0.88, 0,0.01, 3.31026e+19,4.03378
12.8,14, 57,57.5, 0,0.1, 0,0.1, 0.8,0.85, 0.01,0.03, 2.9215e+19,3.00858
9.2,10.4, 57,57.5, 0,0.1, 0,0.1, 0.8,0.85, 0.03,0.05, 2.34312e+19,2.72509
18.8,20, 59.5,60, 0,0.1, 0,0.1, 0.85,0.88, 0.01,0.03, 3.53803e+19,3.05925
11.6,12.8, 61,61.5, 3,3.5, 1.5,2, 0.85,0.88, 0,0.01, 2.93366e+17,5.10513
12.8,14, 59.5,60, 0,0.1, 0,0.1, 0.85,0.88, 0,0.01, 1.64237e+20,1.75531
12.8,14, 61,61.5, 0,0.1, 0,0.1, 0.85,0.88, 0,0.01, 1.65101e+20,1.73461
16.4,17.6, 57,57.5, 2,2.2, 1.2,1.3, 0.85,0.88, 0.01,0.03, 4.45009e+17,9.19571
16.4,17.6, 60,60.5, 2.2,2.4, 1.3,1.4, 0.88,0.9, 0.01,0.03, 6.97767e+17,9.5682
17.6,18.8, 60,60.5, 2.2,2.4, 1.3,1.4, 0.88,0.9, 0.01,0.03, 5.42562e+17,9.66264
12.8,14, 57.5,58, 2.2,2.4, 1.3,1.4, 0.85,0.88, 0,0.01, 1.36388e+18,8.68087
15.2,16.4, 57.5,58, 0.9,1, 0.6,0.7, 0.8,0.85, 0.01,0.03, 7.54349e+17,8.56419
18.8,20, 57.5,58, 1.9,2, 1,1.1, 0.8,0.85, 0.03,0.05, 7.9492e+17,8.61554
18.8,20, 58,58.5, 1.3,1.4, 0.7,0.8, 0.8,0.85, 0.03,0.05, 1.58537e+18,5.86486
15.2,16.4, 60,60.5, 1.3,1.4, 0.7,0.8, 0.85,0.88, 0.01,0.03, 1.71405e+18,7.29981
15.2,16.4, 57.5,58, 1.1,1.2, 0.6,0.7, 0.8,0.85, 0.01,0.03, 1.80725e+18,6.33326
9.2,10.4, 58.5,59, 1.2,1.3, 0.6,0.7, 0.8,0.85, 0.01,0.03, 2.42864e+18,5.47731
12.8,14, 59,59.5, 0.8,0.9, 0.4,0.5, 0.8,0.85, 0,0.01, 4.77385e+18,6.10107
12.8,14, 58.5,59, 0.9,1, 0.4,0.5, 0.8,0.85, 0,0.01, 3.03595e+18,6.70678
9.2,10.4, 58,58.5, 0.3,0.4, 0.1,0.2, 0.8,0.85, 0.01,0.03, 2.68307e+18,7.97786
11.6,12.8, 61.5,62, 0.8,0.9, 0.4,0.5, 0.85,0.88, 0,0.01, 3.10898e+18,9.69328
14,15.2, 58,58.5, 0,0.1, 0,0.1, 0.8,0.85, 0.01,0.03, 3.78319e+19,1.92815
